date	numDays	location	comment	occupation
01-Jan-2012	0	""	""	student
01-Feb-2012	0	""	""	student
01-Mar-2012	8	 Red River Gorge, KY	First climbing trip	student
01-Apr-2012	2	""	""	student
01-May-2012	0	""	""	student
01-Jun-2012	0	""	""	waiter
01-Jul-2012	0	""	""	waiter
01-Aug-2012	4	Rumney, NH	""	waiter
01-Sep-2012	0	""	""	student
01-Oct-2012	1	""	""	student
01-Nov-2012	0	""	""	student
01-Dec-2012	3	""	""	student
01-Jan-2013	8	Bishop, CA	First bouldering trip	student
01-Feb-2013	0	""	""	student
01-Mar-2013	8	 Red River Gorge, KY	""	student
01-Apr-2013	1	""	""	student
01-May-2013	8	New River Gorge, WV	""	student
01-Jun-2013	3	""	""	intern
01-Jul-2013	3	""	""	intern
01-Aug-2013	8	New River Gorge, WV	""	intern
01-Sep-2013	2	""	""	student
01-Oct-2013	2	""	""	student
01-Nov-2013	2	""	""	student
01-Dec-2013	2	""	""	student
01-Jan-2014	8	Bishop, CA	""	student
01-Feb-2014	0	""	""	student
01-Mar-2014	8	 Red River Gorge, KY	""	student
01-Apr-2014	3	""	""	student
01-May-2014	8	 Red River Gorge, KY	""	student
01-Jun-2014	3	""	""	intern
01-Jul-2014	3	""	""	intern
01-Aug-2014	3	""	""	intern
01-Sep-2014	3	""	""	student
01-Oct-2014	3	""	""	student
01-Nov-2014	3	""	""	student
01-Dec-2014	2	""	""	student
01-Jan-2015	8	Bishop, CA	""	student
01-Feb-2015	0	""	""	student
01-Mar-2015	8	 Red River Gorge, KY	""	student
01-Apr-2015	2	""	""	student
01-May-2015	10	Thailand	Independent travel after graduation	unemployed
01-Jun-2015	16	New River Gorge, WV	Beginning of 3 month road trip	unemployed
01-Jul-2015	18	Wyoming	Ten Sleep and Grand Teton National Park	unemployed
01-Aug-2015	16	Colorado	Rocky Mountain National Park and Rifle	unemployed
01-Sep-2015	3	""	""	insight
01-Oct-2015	3	""	""	insight
01-Nov-2015	3	""	""	insight
01-Dec-2015	2	""	""	insight
01-Jan-2016	8	Bishop, CA	""	insight
01-Feb-2016	2	""	""	insight
01-Mar-2016	2	""	""	insight
01-Apr-2016	7	Indian Creek, UT	""	insight
01-May-2016	4	""	""	insight
01-Jun-2016	4	""	""	insight
01-Jul-2016	4	""	""	insight
01-Aug-2016	7	Grand Tetons, WY	""	insight
01-Sep-2016	3	""	""	insight
01-Oct-2016	3	""	""	insight
01-Nov-2016	3	""	""	insight
01-Dec-2016	3	""	""	insight
01-Jan-2017	0	""	""	insight
01-Feb-2017	2	""	""	insight
01-Mar-2017	2	""	""	insight
01-Apr-2017	4	""	""	insight
01-May-2017	4	""	""	insight
01-Jun-2017	10	Ceuse, France	""	insight
01-Jul-2017	5	""	""	insight
01-Aug-2017	2	""	""	insight
01-Sep-2017	0	""	""	insight
01-Oct-2017	0	""	""	insight
01-Nov-2017	2	""	""	insight
01-Dec-2017	1	""	""	insight
01-Jan-2018	0	""	""	insight
